n,beam_width,accuracy
1,1,0.9429559605355172
1,2,0.9429433224645923
1,3,0.9429517478452089
1,4,0.9429264717033592
1,5,0.9429391097742841
2,1,0.9342104154555182
2,2,0.9376395453664619
2,3,0.9395521067664232
2,4,0.9404325590408547
2,5,0.9411782052254211
3,1,0.906490913227005
3,2,0.9071143913926312
3,3,0.9100843380599719
3,4,0.9118831568216094
3,5,0.9130669227982374
4,1,0.89191500476034
4,2,0.8913378661881051
4,3,0.8929386885052533
4,4,0.8945605742739429
4,5,0.8950492463497038
5,1,0.8876222733361979
5,2,0.8881741357665832
5,3,0.8892399464145793
5,4,0.8902467793982594
5,5,0.8901751636630185
6,1,0.886379529695254
6,2,0.8874664037947915
6,3,0.8881825611471998
6,4,0.8889913976863905
6,5,0.8887723377903597
